_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
144,23114,45727,cologne business school cbs european university applied sciences,koln,,germany,http://www.cbs.de/,ebs business school,oestrich winkel,,germany,ebs
145,23116,45727,ebz business school university applied sciences,bochum,,germany,http://www.ebz-business-school.de,ebs business school,oestrich winkel,,germany,ebs
146,990,33962,ankara university,ankara,,turkey,http://www.ankara.edu.tr,bahcesehir university,istanbul,,turkey,yahoo
147,6943,33962,hakkari university,hakkari,,turkey,http://www.hakkari.edu.tr,bahcesehir university,istanbul,,turkey,yahoo
148,6948,47664,halla university,wonju si,Gangwon-do,south korea,http://www.halla.ac.kr,seoul national university,seoul,,south korea,snu
149,6948,48118,halla university,wonju si,Gangwon-do,south korea,http://www.halla.ac.kr,seoul national university,seoul,,south korea,naver
150,6948,24865,halla university,wonju si,Gangwon-do,south korea,http://www.halla.ac.kr,ajou university,suwon,gyunggi-do,south korea,ajou
151,6956,45727,hamburg school business administration,hamburg,,germany,http://www.hsba.de,ebs business school,oestrich winkel,,germany,ebs
152,6958,58832,hamdan bin mohammed e university,dubai,,united arab emirates,http://www.hbmeu.ae,zayed university,dubai,,united arab emirates,zu
153,23142,41878,msh medical school hamburg university applied science medical university,hamburg,,germany,http://www.medicalschool-hamburg.de/,university bamberg,bamberg,bavaria,germany,uni-bamberg
154,1017,23279,aomori university,aomori shi,Aomori,japan,http://www.aomori-u.ac.jp/,hitotsubashi university,tokyo,,japan,hit-u
155,23145,41878,psychological university berlin,berlin,,germany,http://www.psychologische-hochschule.de/,university bamberg,bamberg,bavaria,germany,uni-bamberg
156,23146,41878,quadriga university berlin,berlin,,germany,http://www.quadriga.eu/,university bamberg,bamberg,bavaria,germany,uni-bamberg
157,12332,47664,namseoul university,cheonan si,Chungcheongnam-do,south korea,http://www.nsu.ac.kr,seoul national university,seoul,,south korea,snu
158,12332,48118,namseoul university,cheonan si,Chungcheongnam-do,south korea,http://www.nsu.ac.kr,seoul national university,seoul,,south korea,naver
159,12332,24865,namseoul university,cheonan si,Chungcheongnam-do,south korea,http://www.nsu.ac.kr,ajou university,suwon,gyunggi-do,south korea,ajou
