_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
284,7423,41878,university music performing arts munich,munchen,,germany,http://www.musikhochschule-muenchen.de,university bamberg,bamberg,bavaria,germany,uni-bamberg
285,7432,58669,dresden university applied sciences,dresden,,germany,http://www.htw-dresden.de,dresden university technology,dresden,,germany,tu-dresden
286,12802,53646,northeast agricultural university,harbin,Heilongjiang Province,china,http://www.neau.edu.cn,nanjing university,nanjing,,china,nju
287,12802,57559,northeast agricultural university,harbin,Heilongjiang Province,china,http://www.neau.edu.cn,tsinghua university,beijing,,china,gmail
288,12802,35953,northeast agricultural university,harbin,Heilongjiang Province,china,http://www.neau.edu.cn,xiamen university,xiamen,,china,gmail
289,7437,58669,furtwangen university,furtwangen,,germany,http://www.hs-furtwangen.de,dresden university technology,dresden,,germany,tu-dresden
290,7437,44519,furtwangen university,furtwangen,,germany,http://www.hs-furtwangen.de,rwth aachen university,aachen,,germany,rwth-aachen
291,7437,57122,furtwangen university,furtwangen,,germany,http://www.hs-furtwangen.de,johann wolfgang goethe university frankfurt,frankfurt,,germany,uni-frankfurt
292,1537,53646,beijing university chinese medicine,beijing,,china,http://www.bucm.edu.cn,nanjing university,nanjing,,china,nju
293,1539,53646,beijing university posts telecommunications,beijing,,china,http://www.bupt.edu.cn,nanjing university,nanjing,,china,nju
294,18223,58431,polytechnic university madrid,madrid,,spain,http://www.upm.es,university carlos iii de madrid,madrid,,spain,uc3m
295,1561,43783,belgorod state national research university,belgorod,,russian federation,http://www.bsu.edu.ru,national research university,moscow,,russian federation,dol
296,7479,50648,rotterdam university applied sciences,rotterdam,,netherlands,http://www.rotterdamuas.com,university amsterdam,amsterdam,,netherlands,uva
297,7479,12560,rotterdam university applied sciences,rotterdam,,netherlands,http://www.rotterdamuas.com,vu university amsterdam,amsterdam,,netherlands,vu
